               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12838,            0.038324,             0.02842,                   0,                   0,                   0,                   0,            0.068866,            0.045085,            0.018073,              0.0892,              0.0012,              0.0012
                   1,              0.1205,            0.046893,             0.02719,                   0,                   0,                   0,                   0,            0.064125,            0.049716,            0.017987,            0.077496,           0.0024959,           0.0024959
                   2,             0.11523,            0.049872,            0.027043,                   0,                   0,                   0,                   0,            0.063227,            0.050166,            0.017932,            0.065787,           0.0037875,           0.0037875
                   3,             0.11316,             0.04958,            0.026887,                   0,                   0,                   0,                   0,            0.062983,            0.049511,            0.017865,            0.054075,           0.0050748,           0.0050748
                   4,             0.10609,            0.047044,             0.02569,                   0,                   0,                   0,                   0,            0.063072,            0.048215,             0.01778,            0.042358,           0.0063578,           0.0063578
                   5,            0.093028,            0.040231,            0.025006,                   0,                   0,                   0,                   0,            0.063233,             0.04827,            0.017749,            0.030636,           0.0076365,           0.0076365
                   6,            0.083839,            0.036084,            0.025767,                   0,                   0,                   0,                   0,            0.063236,            0.048377,            0.017761,            0.018911,           0.0089109,           0.0089109
                   7,            0.076375,            0.036535,            0.025377,          5.9081e-05,           0.0025575,           0.0005294,          0.00010736,            0.062261,            0.048245,            0.017731,           0.0098845,           0.0098845,           0.0098845
                   8,            0.071619,            0.034611,            0.025536,            0.060109,             0.28459,            0.039447,             0.01409,            0.052504,            0.052868,            0.015894,           0.0098845,           0.0098845,           0.0098845
                   9,            0.066903,            0.035823,              0.0251,            0.010283,             0.21309,           0.0072752,           0.0020566,             0.06286,             0.92567,            0.018579,            0.009868,            0.009868,            0.009868
                  10,            0.065321,            0.034216,            0.023955,             0.01824,             0.26238,           0.0084924,           0.0019585,            0.054968,               1.087,            0.017279,           0.0098515,           0.0098515,           0.0098515
                  11,            0.067739,            0.036401,            0.021074,              0.5848,              0.1922,            0.061877,            0.016414,            0.058673,             0.36388,            0.033582,            0.009835,            0.009835,            0.009835
