               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039479,            0.019147,           0.0022953,             0.97994,             0.96101,             0.98478,             0.69088,            0.019524,            0.013799,          0.00095825,           0.0094225,           0.0094225,           0.0094225
                  37,            0.040848,            0.019238,           0.0039774,               0.983,             0.96077,             0.98835,             0.68437,            0.020214,            0.013914,          0.00090446,            0.009406,            0.009406,            0.009406
                  38,            0.039813,            0.019652,           0.0030335,             0.98441,              0.9545,             0.98707,             0.67354,            0.019614,            0.013858,          0.00089684,           0.0093895,           0.0093895,           0.0093895
                  39,            0.039836,            0.019045,           0.0030646,             0.98104,             0.96404,             0.98528,             0.70658,            0.018152,            0.013055,          0.00074539,            0.009373,            0.009373,            0.009373
                  40,             0.04028,            0.019025,           0.0029438,             0.97116,             0.95394,             0.98266,             0.68738,            0.019257,            0.013538,           0.0012436,           0.0093565,           0.0093565,           0.0093565
                  41,            0.038612,            0.019569,           0.0030385,             0.97562,             0.95888,             0.98545,             0.72228,            0.017528,            0.013319,          0.00077572,             0.00934,             0.00934,             0.00934
                  42,            0.038569,            0.018501,           0.0029291,             0.98351,             0.96359,             0.98446,              0.7146,             0.01818,            0.012984,           0.0007576,           0.0093235,           0.0093235,           0.0093235
                  43,            0.037109,            0.019152,           0.0025754,             0.98453,              0.9571,             0.98504,             0.68852,            0.019736,            0.013548,          0.00083466,            0.009307,            0.009307,            0.009307
                  44,            0.038826,            0.018505,           0.0027045,             0.98528,              0.9512,             0.98291,             0.62991,             0.02155,            0.013742,          0.00095482,           0.0092905,           0.0092905,           0.0092905
                  45,            0.037975,            0.018856,           0.0030382,             0.98662,             0.96541,             0.98794,             0.71446,            0.017745,            0.013083,          0.00080147,            0.009274,            0.009274,            0.009274
                  46,            0.036825,            0.018423,           0.0021719,             0.98179,             0.95844,             0.98655,             0.72301,            0.017972,            0.012752,           0.0012367,           0.0092575,           0.0092575,           0.0092575
                  47,            0.037124,            0.018767,           0.0024895,              0.9855,             0.96803,             0.98679,             0.70517,            0.018174,            0.012972,           0.0007555,            0.009241,            0.009241,            0.009241
                  48,            0.037667,            0.019093,           0.0020656,             0.99045,             0.95737,             0.98564,             0.71701,            0.017471,             0.01273,          0.00073223,           0.0092245,           0.0092245,           0.0092245
                  49,             0.03401,            0.018508,           0.0019597,             0.98424,             0.96507,             0.98666,             0.69344,            0.018519,            0.012769,           0.0007534,            0.009208,            0.009208,            0.009208
